,variable,relative_importance,scaled_importance,percentage
40,Festival,1.7149858474731445,0.0032637578919980322,0.0012428275723585654
41,Cat,1.6381529569625854,0.0031175386371054435,0.0011871477923001909
42,percentage_animals,1.5290260314941406,0.0029098612007278264,0.0011080649520197698
43,Bikini,1.5140354633331299,0.002881332927323635,0.0010972014854417364
44,N_1,1.5097651481628418,0.002873206169392144,0.001094106844489384
45,insta_user_id,1.412082314491272,0.00268730777275053,0.0010233173862486545
46,user_follows,1.2919650077819824,0.002458714744816443,0.0009362699619706571
47,Beach,1.1914026737213135,0.0022673364241662546,0.0008633937678635864
48,H_1,1.1379493474960327,0.002165610386264337,0.000824656848975924
49,H_3,1.0687205791473389,0.0020338623958163337,0.0007744876757253394
50,avg_number_of_faces_over_images_with_faces,1.0487315654754639,0.001995821673077448,0.0007600019017626785
51,avg_posts_night,1.0241785049438477,0.0019490951970538477,0.000742208623375313
52,SURPRISED,0.9512638449668884,0.0018103326543233717,0.0006893683331874761
53,avg_comments,0.9240977168083191,0.0017586332975600507,0.0006696813992343811
54,Sea Life,0.8802546858787537,0.0016751964351414388,0.0006379089343039458
55,avg_posts_whole_date,0.8800045251846313,0.0016747203589447097,0.0006377276461559219
56,avg_posts_late_night,0.8238701820373535,0.0015678921272546389,0.0005970478297466693
57,Food,0.6821702122688293,0.0012982255318659294,0.0004943597348622859
58,SAD,0.6802231669425964,0.0012945201458658445,0.0004929487368533871
59,A_1,0.6756398677825928,0.0012857977538840739,0.0004896272805411889
60,Cloud,0.6368598341941833,0.001211996188196167,0.00046152390285344894
61,happy_to_depressed_flt_ratio,0.6024055480957031,0.001146426872663472,0.00043655533718731614
62,Airplane,0.5935617089271545,0.0011295963256799852,0.0004301463238532577
63,HAPPY,0.56974858045578,0.0010842780006943159,0.0004128892644483961
64,Book,0.5570821166038513,0.0010601726872765107,0.00040371004553959016
65,A_2,0.543357789516449,0.001034054173873109,0.0003937642071284902
66,Teddy Bear,0.5186479091644287,0.0009870292569456262,0.00037585728349036216
67,Outdoors,0.4594652056694031,0.0008743997469783761,0.0003329683606349849
68,Pet,0.4307574927806854,0.0008197666287868669,0.00031216426060697554
69,M_3,0.42327380180358887,0.0008055245547057535,0.00030674092868674394
70,Breakfast,0.4226098954677582,0.0008042610868198188,0.0003062598045416965
71,avg_number_of_faces_over_all_images,0.3455261290073395,0.0006575643945405175,0.0002503982179989207
72,Toy,0.32997608184814453,0.0006279713869879821,0.0002391293043869522
73,Animal,0.31364819407463074,0.0005968980853283902,0.00022729669996447341
74,N_3,0.297058641910553,0.0005653268149998344,0.00021527447081723294
75,CALM,0.2899665832519531,0.0005518300491509369,0.00021013494966102105
76,age,0.28506115078926086,0.0005424946112303473,0.00020658004760281488
77,Child,0.2569669187068939,0.0004890289970309361,0.00018622052900524056
78,City,0.2237718105316162,0.00042585599974794393,0.0001621644729343135
79,start_q,0.2232510894536972,0.0004248650250818311,0.000161787113252833
80,Dusk,0.2186097651720047,0.00041603220656264903,0.0001584236069020116
81,Sky,0.21012461185455322,0.00039988426799776285,0.00015227452846258523
82,imagecount,0.19624029099941254,0.0003734612734099268,0.0001422127446830476
83,M_1,0.17223316431045532,0.00032777375399935764,0.00012481509733446884
84,gender,0.15646366775035858,0.0002977631163450096,0.00011338715164268455
85,Pool,0.15580596029758453,0.00029651144543893184,0.00011291051974624198
86,ratio_female,0.15302503108978271,0.0002912191104249584,0.00011089521711192242
87,Beard,0.15272940695285797,0.000290656513589903,0.00011068098220790493
88,Canine,0.1437615305185318,0.0002735899135767775,0.00010418208070705175
89,A_3,0.14320583641529083,0.0002725323823920965,0.00010377937653644736
90,Woman,0.11535503715276718,0.00021953004069613215,8.359627048534624e-05
91,index,0.1004650890827179,0.00019119325552868183,7.280572195708251e-05
92,Plant,0.09385479241609573,0.00017861332202898325,6.801532734779022e-05
93,Swimwear,0.0762212723493576,0.00014505529566607273,5.5236548462255786e-05
94,Downtown,0.07408013194799423,0.0001409805309132779,5.3684892318255476e-05
95,user_id,0.07166258245706558,0.00013637973712717189,5.19329261610452e-05
96,CONFUSED,0.07128231227397919,0.0001356560519650066,5.165734938635521e-05
97,Club,0.06615329533815384,0.0001258951145630123,4.794041861615094e-05
98,end_q,0.06521839648485184,0.00012411592582207889,4.7262909776085524e-05
99,Cafeteria,0.06269481033086777,0.00011931333562091897,4.543410025091373e-05
100,Alcohol,0.05834822729229927,0.00011104143371790641,4.228418898264387e-05
101,Sunlight,0.056820183992385864,0.00010813344273549966,4.1176836203209405e-05
102,Sketch,0.054734308272600174,0.00010416385117752371,3.9665229643375375e-05
103,Sandwich,0.05392773076891899,0.00010262886842706766,3.908071358903236e-05
104,Person,0.04951837658882141,9.423750792394062e-05,3.58853129043013e-05
105,ANGRY,0.041974086314439774,7.988010843938153e-05,3.041806547442133e-05
106,Sunrise,0.03516734763979912,6.692632978233955e-05,2.548531193878886e-05
107,Pizza,0.03226334974169731,6.139978501683012e-05,2.3380823051519042e-05
108,Performer,0.02655196748673916,5.053055893178565e-05,1.9241859833134476e-05
109,Laptop,0.026396505534648895,5.0234702162012535e-05,1.912919861158845e-05
110,Sunset,0.025644252076745033,4.880310249975644e-05,1.858405047508196e-05
111,Tree,0.023730432614684105,4.516094802812393e-05,1.7197130810718372e-05
112,Beer Bottle,0.022610917687416077,4.3030419846527464e-05,1.6385833142387328e-05
113,participate,0.02234814502298832,4.253034204204233e-05,1.6195405266207403e-05
114,Light,0.015080029144883156,2.8698524950331084e-05,1.0928297770413542e-05
115,Coffee Cup,0.010168147273361683,1.9350813278913743e-05,7.368721910886997e-06
116,TV,0.0007446261588484049,1.4170842902933742e-06,5.396207337103045e-07
117,Selfie,0.0003579667245503515,6.812398621512185e-07,2.5941375313012737e-07
118,Cocktail,0.00010040132474387065,1.9107190679309467e-07,7.275951278365445e-08
119,Tattoo,0.0,0.0,0.0
