,variable,relative_importance,scaled_importance,percentage
33,N_1,5.629983901977539,0.007318967994054794,0.0021426867105951634
34,gender,5.264437198638916,0.006843757999026589,0.002003565164782142
35,Pet,5.093474388122559,0.006621506681770892,0.0019384993051851497
36,happy_to_depressed_flt_ratio,4.713963508605957,0.006128143285189607,0.001794063205149255
37,Light,4.6809163093566895,0.006085181991194862,0.0017814859410066482
38,Animal,4.003703594207764,0.005204806794100434,0.0015237490255447786
39,Cat,3.961618661880493,0.005150096464888469,0.0015077321369028297
40,LON,3.91481351852417,0.005089249870627027,0.0014899188073439532
41,CALM,3.7619032859802246,0.004890466869212137,0.0014317234858491894
42,E_1,3.7328040599823,0.004852637932675432,0.0014206487606066433
43,percentage_animals,3.525392770767212,0.004583003664833625,0.001341711161358362
44,avg_number_of_faces_over_images_with_faces,3.462963104248047,0.004501845221205964,0.0013179513746295727
45,age,3.31962251663208,0.004315502739366581,0.0012633981152382354
46,ratio_male,3.139596700668335,0.004081469532863195,0.0011948830128603982
47,Tree,3.105379581451416,0.004036987345212637,0.001181860494875011
48,avg_posts_late_day,2.997089147567749,0.0038962099942545865,0.0011406467938046374
49,Beach,2.9037036895751953,0.0037748090826254122,0.0011051057010968584
50,avg_likes,2.887028217315674,0.0037531310015015357,0.0010987592685980329
51,Pool,2.7432985305786133,0.0035662826915703887,0.0010440579239669528
52,E_3,2.6851816177368164,0.003490730819236797,0.0010219395060504831
53,Food,2.632694721221924,0.003422497957049601,0.0010019637871850455
54,TV,2.538357734680176,0.003299860060178864,0.0009660605571048318
55,Plant,2.1782238483428955,0.0028316867166012223,0.0008289990475650204
56,HAPPY,2.0846564769744873,0.002710049317941401,0.0007933887213781213
57,user_id,2.06288743019104,0.002681749599959407,0.0007851037514639386
58,participate,2.0092594623565674,0.0026120333473021234,0.0007646937581147946
59,avg_posts_late_night,1.9407379627227783,0.00252295553261278,0.0007386155118512839
60,Book,1.9274417161941528,0.002505670438289528,0.0007335551615494517
61,user_follows,1.7931828498840332,0.0023311341762770037,0.0006824582679115817
62,avg_comments,1.6296050548553467,0.002118483364623264,0.0006202030334990439
63,Money,1.4472215175628662,0.0018813851250319763,0.0005507906180477901
64,start_q,1.3888885974884033,0.0018055524437209714,0.0005285899910460223
65,ratio_female,1.376541256904602,0.0017895009252587618,0.0005238907799930722
66,SURPRISED,1.2583314180374146,0.001635828367341247,0.0004789019034328123
67,Sunlight,1.1296296119689941,0.0014685162727079125,0.00042991994286352246
68,Alcohol,1.0925856828689575,0.0014203592377718141,0.00041582158379663454
69,insta_user_id,1.0361053943634033,0.001346934973854837,0.00039432604034598216
70,H_2,0.968186616897583,0.0012586406967978344,0.000368477181022465
71,Bikini,0.9603174328804016,0.0012484107730602464,0.000365482288619501
72,Performer,0.948147714138031,0.0012325901626423776,0.0003608506777525855
73,Teddy Bear,0.8055524826049805,0.0010472166422440961,0.0003065810896117051
74,Tattoo,0.6828274130821228,0.0008876742933591476,0.0002598737845639715
75,Collage,0.6759230494499207,0.0008786986342234877,0.0002572460882050814
76,H_3,0.6518512964248657,0.0008474054026586008,0.00024808474312745213
77,Coast,0.6470873951911926,0.0008412123404290898,0.00024627167437953014
78,A_1,0.6296141147613525,0.0008184971102537027,0.000239621608159204
79,Cocktail,0.613635241985321,0.0007977246070876156,0.00023354029088661508
80,Sunset,0.509259045124054,0.0006620357565563652,0.000193816289217881
81,imagecount,0.5037009716033936,0.0006548102719165196,0.0001917009705106558
82,DISGUSTED,0.4629625976085663,0.000601850465887013,0.00017619656160118956
83,Sunrise,0.370370090007782,0.00048148038820679457,0.00014095725381787689
84,Swimwear,0.3703697621822357,0.0004814799620342295,0.00014095712905243287
85,Outdoors,0.3386130928993225,0.00044019635445627803,0.00012887102109369376
86,Dusk,0.2962961494922638,0.00038518441129713286,0.00011276583254431556
87,Sandwich,0.2962946891784668,0.0003851825128920703,0.000112765276770974
88,avg_number_of_faces_over_all_images,0.2685185968875885,0.00034907364757090243,0.00010219411620281948
89,Selfie,0.22222211956977844,0.00028888831815858975,8.457437724381494e-05
