,names,coefficients,standardized_coefficients,abs_standardized_coef
14,employed.A homemaker,0.017008422312536714,0.017008422312536714,0.017008422312536714
43,Book,1.624162353880205,0.016753329881656513,0.016753329881656513
93,avg_comments,0.020699691395884377,0.016708762839970547,0.016708762839970547
3,"income.$150,000 or more",0.016674894328340416,0.016674894328340416,0.016674894328340416
17,employed.Out of work and looking for work,0.014839605564842784,0.014839605564842784,0.014839605564842784
129,N_2,-0.006710574249949388,-0.014353414783447295,0.014353414783447295
57,Light,3.7416873768412686,0.013606510314987845,0.013606510314987845
37,Plant,0.11154979916368071,0.013562548044814571,0.013562548044814571
122,M_1,0.007380405457756743,0.013508359960223391,0.013508359960223391
27,gender.Male,0.013450658174011115,0.013450658174011115,0.013450658174011115
19,employed.Retired,-0.013431126229882556,-0.013431126229882556,0.013431126229882556
114,index,-0.00014455943671273487,-0.013219313999163942,0.013219313999163942
26,gender.Female,-0.012735881098104234,-0.012735881098104234,0.012735881098104234
105,ANGRY,1.2055766419228884,0.012086907802494105,0.012086907802494105
79,Pizza,-5.923854510396466,-0.011544684976695103,0.011544684976695103
121,H_1,-0.0057501602981700735,-0.011478114897699843,0.011478114897699843
60,TV,-1.3105353141349494,-0.011351679960349035,0.011351679960349035
42,Pet,-0.4645375978421479,-0.011321278135853338,0.011321278135853338
59,Sea Life,0.7116483808852201,0.010526366771303034,0.010526366771303034
51,Coast,0.8507385097604739,0.010434958899324004,0.010434958899324004
115,born,0.0010175176041408779,0.010300324223471453,0.010300324223471453
32,age,-0.0010257882690504106,-0.010261459661739854,0.010261459661739854
106,CALM,3.089568005037987,0.01021645467724118,0.01021645467724118
70,Pool,2.642064278025937,0.009932168218418266,0.009932168218418266
107,CONFUSED,-2.8849632838784354,-0.009884311295096652,0.009884311295096652
87,Cafeteria,4.719802620443386,0.009689884013033372,0.009689884013033372
46,Sky,-0.7317213789356811,-0.009630253019784924,0.009630253019784924
142,N_EMO,-0.004851674600963629,-0.009413681896103818,0.009413681896103818
12,income.I'd rather not disclose this information,0.009263244563497763,0.009263244563497763,0.009263244563497763
8,"income.$60,000 to $69,999",0.009109978997036026,0.009109978997036026,0.009109978997036026
102,avg_posts_night,-0.022065824776085635,-0.008994172743838862,0.008994172743838862
24,education.Post graduate degree,0.008843826371526586,0.008843826371526586,0.008843826371526586
110,SAD,0.47508872392014206,0.008681759932801753,0.008681759932801753
112,ratio_male,-0.06778064045816745,-0.008576639250561546,0.008576639250561546
9,"income.$70,000 to $79,999",-0.008211640690090593,-0.008211640690090593,0.008211640690090593
97,avg_posts_early_day,0.0901430647447645,0.008191996490484098,0.008191996490484098
95,depressed_flt_pct,0.04915330823293171,0.007916615493876622,0.007916615493876622
92,avg_likes,0.0003506035438303979,0.007871435472070781,0.007871435472070781
11,"income.$90,000 to $99,999",0.006651428211160828,0.006651428211160828,0.006651428211160828
15,employed.A student,0.005846068458129186,0.005846068458129186,0.005846068458129186
132,E_3,0.0027193637854529083,0.005719968711201056,0.005719968711201056
103,avg_posts_whole_date,-0.006564756490202286,-0.0047842775604898455,0.0047842775604898455
78,Laptop,-3.1509504750888655,-0.004777153988714274,0.004777153988714274
18,employed.Out of work but not currently looking for work,0.004518023913880965,0.004518023913880965,0.004518023913880965
108,DISGUSTED,6.256540364632617,0.004438932962481943,0.004438932962481943
71,Performer,-0.349782265456066,-0.00424594883169267,0.00424594883169267
23,education.High school graduate,-0.0041402978193201155,-0.0041402978193201155,0.0041402978193201155
104,percentage_animals,-0.040537030683977945,-0.0038804863883148606,0.0038804863883148606
98,avg_posts_late_day,-0.006672293479139981,-0.0032322276921551625,0.0032322276921551625
128,P_2,-0.001743589809143534,-0.003083630033378041,0.003083630033378041
45,Canine,-0.15002790766596252,-0.0030826652319630647,0.0030826652319630647
131,N_3,0.0012753613095555804,0.0029940070679720945,0.0029940070679720945
144,imagecount,-7.323902206627621e-06,-0.002826521900844012,0.002826521900844012
66,Selfie,-0.7753396449726213,-0.0025845941928861536,0.0025845941928861536
56,Sunlight,0.3770144400883607,0.0025661759960399267,0.0025661759960399267
1,"income.$10,000 to $19,999",-0.0025102041256014032,-0.0025102041256014032,0.0025102041256014032
90,avg_number_of_faces_over_images_with_faces,0.004272908793456567,0.0022487806598374153,0.0022487806598374153
75,Musical Instrument,0.1478297105395615,0.0019801830641693664,0.0019801830641693664
63,Sunrise,-0.2213376484855509,-0.001934280707620844,0.001934280707620844
44,Dog,-0.09275469606397682,-0.0018937260846457098,0.0018937260846457098
64,Sunset,-0.2119710829604854,-0.0018524258261049076,0.0018524258261049076
61,Dusk,-0.17378542107935618,-0.0015187194296116665,0.0015187194296116665
77,City,-0.17914740661604345,-0.0012726336363749929,0.0012726336363749929
141,end_q,4.080637602715288e-13,0.00124403256236142,0.00124403256236142
91,avg_number_of_faces_over_all_images,0.0017689021720362636,0.0009309520015290681,0.0009309520015290681
140,start_q,2.1621854046884003e-13,0.0006591618557868675,0.0006591618557868675
82,Money,0.0074785551797885074,0.0001057231887987074,0.0001057231887987074
101,avg_posts_day,-0.00010077682392437294,-5.140088516337316e-05,5.140088516337316e-05
74,Downtown,-0.004714216617938722,-3.352220522892208e-05,3.352220522892208e-05
