,variable,relative_importance,scaled_importance,percentage
73,education,0.22816818952560425,0.0005037577420017858,0.00019354026712445615
74,Canine,0.22061488032341003,0.00048708128067626136,0.00018713328513583747
75,E_1,0.2100941240787506,0.00046385318555493824,0.0001782092104075582
76,Plant,0.20897331833839417,0.0004613786312791712,0.0001772585036379852
77,Sketch,0.19186891615390778,0.00042361493143712833,0.00016274994933568557
78,user_posted_photos,0.18723569810390472,0.0004133855499097374,0.00015881989115839167
79,Coffee Cup,0.1784134954214096,0.0003939075809954198,0.00015133658918125697
80,avg_posts_night,0.15674462914466858,0.00034606629702851183,0.00013295629622190927
81,Tattoo,0.15567472577095032,0.0003437041267854775,0.0001320487666264064
82,avg_number_of_faces_over_all_images,0.15515775978565216,0.0003425627511275166,0.00013161025793202228
83,Swimwear,0.13456258177757263,0.00029709199382762255,0.00011414070504891916
84,Child,0.12727037072181702,0.0002809919941594581,0.00010795519567272946
85,ANGRY,0.12327297031879425,0.0002721663931627083,0.00010456446034098587
86,P_1,0.11516191065311432,0.00025425851077594746,9.76843748320375e-05
87,Sport,0.10488837957382202,0.0002315762480571617,8.897000516669679e-05
88,Breakfast,0.10470614582300186,0.0002311739059821312,8.881542810279426e-05
89,Food,0.09414715319871902,0.00020786139123903056,7.985891993521055e-05
90,Drawing,0.09134214371442795,0.00020166839278890482,7.747961243399812e-05
91,N_3,0.09033992886543274,0.00019945566764794544,7.662949862105199e-05
92,user_follows,0.08277131617069244,0.0001827454187341258,7.020953567289874e-05
93,level_0,0.07982619106769562,0.00017624306810022216,6.771137718580173e-05
94,Pool,0.07005386799573898,0.00015466739002223837,5.942214974482783e-05
95,Alcohol,0.06869722902774811,0.00015167215486414011,5.827140095376142e-05
96,Sunlight,0.06760471314191818,0.00014926005992272408,5.7344690631779804e-05
97,TV,0.06254450976848602,0.0001380879652027283,5.305244851584613e-05
98,Club,0.05618365481495857,0.0001240442462458827,4.7656948076432444e-05
99,Crowd,0.054633405059576035,0.00012062155039185485,4.634197181970631e-05
100,Sunset,0.047007232904434204,0.0001037842196798976,3.987318491688693e-05
101,Festival,0.04505716264247894,9.947878606993692e-05,3.8219066872671444e-05
102,Beard,0.0420287549495697,9.279256120917648e-05,3.565026516956796e-05
103,Bikini,0.038190796971321106,8.431898279739138e-05,3.239477449899261e-05
104,Musical Instrument,0.032781075686216354,7.237521015708844e-05,2.7806059022199388e-05
105,gender,0.03009563684463501,6.644620397120597e-05,2.5528175537097184e-05
106,start_q,0.027105038985610008,5.984345698956e-05,2.299144546223031e-05
107,Airplane,0.024946365505456924,5.5077461868408267e-05,2.1160382846306697e-05
108,Dusk,0.018969576805830002,4.188169787516336e-05,1.6090660884287014e-05
109,CONFUSED,0.014311985112726688,3.1598503362543946e-05,1.2139928127393627e-05
110,DISGUSTED,0.009486263617873192,2.094410596897528e-05,8.046581771251513e-06
111,Cloud,0.007859710603952408,1.7352945101009568e-05,6.666882412366993e-06
112,Sunrise,0.00778884207829833,1.7196479081198828e-05,6.606769241401645e-06
113,Money,0.007313771639019251,1.6147601881092153e-05,6.20379781969657e-06
114,Downtown,0.006804824341088533,1.5023930162713908e-05,5.772090857395728e-06
115,Cafeteria,0.003980851266533136,8.78906323200958e-06,3.3766977732936562e-06
116,Beer Bottle,0.00279900711029768,6.17974619802238e-06,2.3742160769061765e-06
117,Laptop,0.002379067474976182,5.252588723063005e-06,2.01800853822494e-06
118,Cocktail,0.0020047668367624283,4.426194628739753e-06,1.7005135988323692e-06
119,participate,1.833655005611945e-09,4.048407918552945e-12,1.5553705375762201e-12
